test_id,config,total_endbr64
1,gcc-branch-baseline,19
1,gcc-branch-lto,20
1,clang-branch-baseline,19
1,clang-branch-thinlto,19
1,clang-branch-fulllto,19
2,gcc-branch-baseline,18
2,gcc-branch-lto,19
2,clang-branch-baseline,18
2,clang-branch-thinlto,18
2,clang-branch-fulllto,18
3,gcc-branch-baseline,29
3,gcc-branch-lto,30
3,clang-branch-baseline,27
3,clang-branch-thinlto,27
3,clang-branch-fulllto,27
5,gcc-branch-baseline,34
5,gcc-branch-lto,35
5,clang-branch-baseline,34
5,clang-branch-thinlto,34
5,clang-branch-fulllto,34
7,gcc-branch-baseline,19
7,gcc-branch-lto,20
7,clang-branch-baseline,19
7,clang-branch-thinlto,19
7,clang-branch-fulllto,19
8,gcc-branch-baseline,22
8,gcc-branch-lto,23
8,clang-branch-baseline,22
8,clang-branch-thinlto,22
8,clang-branch-fulllto,22
9,gcc-branch-baseline,36
9,gcc-branch-lto,37
9,clang-branch-baseline,34
9,clang-branch-thinlto,34
9,clang-branch-fulllto,34
13,gcc-branch-baseline,41
13,gcc-branch-lto,42
13,clang-branch-baseline,41
13,clang-branch-thinlto,41
13,clang-branch-fulllto,41
15,gcc-branch-baseline,26
15,gcc-branch-lto,27
15,clang-branch-baseline,28
15,clang-branch-thinlto,28
15,clang-branch-fulllto,28
17,gcc-branch-baseline,23
17,gcc-branch-lto,24
17,clang-branch-baseline,21
17,clang-branch-thinlto,21
17,clang-branch-fulllto,21
19,gcc-branch-baseline,32
19,gcc-branch-lto,33
19,clang-branch-baseline,30
19,clang-branch-thinlto,30
19,clang-branch-fulllto,30
20,gcc-branch-baseline,18
20,gcc-branch-lto,19
20,clang-branch-baseline,18
20,clang-branch-thinlto,18
20,clang-branch-fulllto,18
21,gcc-branch-baseline,19
21,gcc-branch-lto,20
21,clang-branch-baseline,19
21,clang-branch-thinlto,19
21,clang-branch-fulllto,19
22,gcc-branch-baseline,41
22,gcc-branch-lto,42
22,clang-branch-baseline,39
22,clang-branch-thinlto,39
22,clang-branch-fulllto,39
25,gcc-branch-baseline,40
25,gcc-branch-lto,41
25,clang-branch-baseline,34
25,clang-branch-thinlto,34
25,clang-branch-fulllto,34
26,gcc-branch-baseline,26
26,gcc-branch-lto,27
26,clang-branch-baseline,24
26,clang-branch-thinlto,24
26,clang-branch-fulllto,24
27,gcc-branch-baseline,41
27,gcc-branch-lto,42
27,clang-branch-baseline,39
27,clang-branch-thinlto,39
27,clang-branch-fulllto,39
28,gcc-branch-baseline,19
28,gcc-branch-lto,20
28,clang-branch-baseline,19
28,clang-branch-thinlto,19
28,clang-branch-fulllto,19
30,gcc-branch-baseline,30
30,gcc-branch-lto,31
30,clang-branch-baseline,28
30,clang-branch-thinlto,28
30,clang-branch-fulllto,28
31,gcc-branch-baseline,24
31,gcc-branch-lto,25
31,clang-branch-baseline,24
31,clang-branch-thinlto,24
31,clang-branch-fulllto,24
32,gcc-branch-baseline,19
32,gcc-branch-lto,20
32,clang-branch-baseline,19
32,clang-branch-thinlto,19
32,clang-branch-fulllto,19
33,gcc-branch-baseline,35
33,gcc-branch-lto,36
33,clang-branch-baseline,35
33,clang-branch-thinlto,35
33,clang-branch-fulllto,35
34,gcc-branch-baseline,35
34,gcc-branch-lto,36
34,clang-branch-baseline,35
34,clang-branch-thinlto,35
34,clang-branch-fulllto,35
36,gcc-branch-baseline,23
36,gcc-branch-lto,24
36,clang-branch-baseline,21
36,clang-branch-thinlto,21
36,clang-branch-fulllto,21
37,gcc-branch-baseline,22
37,gcc-branch-lto,23
37,clang-branch-baseline,24
37,clang-branch-thinlto,24
37,clang-branch-fulllto,24
38,gcc-branch-baseline,22
38,gcc-branch-lto,23
38,clang-branch-baseline,22
38,clang-branch-thinlto,22
38,clang-branch-fulllto,22
39,gcc-branch-baseline,31
39,gcc-branch-lto,32
39,clang-branch-baseline,31
39,clang-branch-thinlto,31
39,clang-branch-fulllto,31
40,gcc-branch-baseline,26
40,gcc-branch-lto,27
40,clang-branch-baseline,24
40,clang-branch-thinlto,24
40,clang-branch-fulllto,24
41,gcc-branch-baseline,22
41,gcc-branch-lto,23
41,clang-branch-baseline,22
41,clang-branch-thinlto,22
41,clang-branch-fulllto,22
42,gcc-branch-baseline,35
42,gcc-branch-lto,36
42,clang-branch-baseline,35
42,clang-branch-thinlto,35
42,clang-branch-fulllto,35
43,gcc-branch-baseline,40
43,gcc-branch-lto,41
43,clang-branch-baseline,40
43,clang-branch-thinlto,40
