test_id,config,total_funcs,target_funcs,addr_taken_endbr_sites,callsites_mapped,callsites_nocf_expected,callsites_nocf_observed,callee_bugs,callsite_bugs,alias_groups
1,gcc-branch-baseline,19,1,1,1,0,0,0,0,0
1,gcc-branch-lto,20,1,1,1,0,0,0,0,0
1,clang-branch-baseline,18,1,1,1,0,0,0,0,0
1,clang-branch-thinlto,18,1,1,1,0,0,0,0,0
1,clang-branch-fulllto,18,1,1,1,0,0,0,0,0
2,gcc-branch-baseline,18,1,0,1,1,1,0,0,0
2,gcc-branch-lto,19,1,0,1,1,1,0,0,0
2,clang-branch-baseline,18,1,0,1,1,0,0,1,0
2,clang-branch-thinlto,18,1,0,1,1,0,0,1,0
2,clang-branch-fulllto,18,1,0,1,1,0,0,1,0
3,gcc-branch-baseline,29,4,3,4,3,3,0,0,0
3,gcc-branch-lto,30,4,3,4,3,3,0,0,0
3,clang-branch-baseline,27,4,3,4,3,0,0,3,0
3,clang-branch-thinlto,27,4,3,4,3,0,0,3,0
3,clang-branch-fulllto,27,4,3,4,3,0,0,3,0
5,gcc-branch-baseline,38,8,6,8,7,7,0,0,0
5,gcc-branch-lto,39,8,6,8,7,7,0,0,0
5,clang-branch-baseline,38,8,6,8,7,0,0,7,0
5,clang-branch-thinlto,38,8,6,8,7,0,0,7,0
5,clang-branch-fulllto,38,8,6,8,7,0,0,7,0
7,gcc-branch-baseline,17,1,1,1,1,1,0,0,0
7,gcc-branch-lto,18,1,1,1,1,1,0,0,0
7,clang-branch-baseline,17,1,1,1,1,0,0,1,0
7,clang-branch-thinlto,17,1,1,1,1,0,0,1,0
7,clang-branch-fulllto,17,1,1,1,1,0,0,1,0
8,gcc-branch-baseline,23,2,2,2,0,0,0,0,0
8,gcc-branch-lto,24,2,2,2,0,0,0,0,0
8,clang-branch-baseline,21,2,2,2,0,0,0,0,0
8,clang-branch-thinlto,21,2,2,2,0,0,0,0,0
8,clang-branch-fulllto,21,2,2,2,0,0,0,0,0
9,gcc-branch-baseline,35,6,6,6,1,1,0,0,0
9,gcc-branch-lto,36,6,6,6,1,1,0,0,0
9,clang-branch-baseline,33,6,6,6,1,0,0,1,0
9,clang-branch-thinlto,33,6,6,6,1,0,0,1,0
9,clang-branch-fulllto,33,6,6,6,1,0,0,1,0
13,gcc-branch-baseline,43,9,7,9,6,6,0,0,0
13,gcc-branch-lto,44,9,7,9,6,6,0,0,0
13,clang-branch-baseline,42,9,7,9,6,0,0,6,0
13,clang-branch-thinlto,42,9,7,9,6,0,0,6,0
13,clang-branch-fulllto,42,9,7,9,6,0,0,6,0
15,gcc-branch-baseline,28,4,4,4,2,2,0,0,0
15,gcc-branch-lto,29,4,4,4,2,2,0,0,0
15,clang-branch-baseline,27,4,4,4,2,0,0,2,0
15,clang-branch-thinlto,27,4,4,4,2,0,0,2,0
15,clang-branch-fulllto,27,4,4,4,2,0,0,2,0
17,gcc-branch-baseline,23,2,1,2,1,1,0,0,0
17,gcc-branch-lto,24,2,1,2,1,1,0,0,0
17,clang-branch-baseline,21,2,1,2,1,0,0,1,0
17,clang-branch-thinlto,21,2,1,2,1,0,0,1,0
17,clang-branch-fulllto,21,2,1,2,1,0,0,1,0
19,gcc-branch-baseline,31,5,4,5,3,3,0,0,0
19,gcc-branch-lto,32,5,4,5,3,3,0,0,0
19,clang-branch-baseline,30,5,4,5,3,0,0,3,0
19,clang-branch-thinlto,30,5,4,5,3,0,0,3,0
19,clang-branch-fulllto,30,5,4,5,3,0,0,3,0
20,gcc-branch-baseline,19,1,0,1,1,1,0,0,0
20,gcc-branch-lto,20,1,0,1,1,1,0,0,0
20,clang-branch-baseline,18,1,0,1,1,0,0,1,0
20,clang-branch-thinlto,18,1,0,1,1,0,0,1,0
20,clang-branch-fulllto,18,1,0,1,1,0,0,1,0
21,gcc-branch-baseline,18,1,1,1,0,0,0,0,0
21,gcc-branch-lto,19,1,1,1,0,0,0,0,0
21,clang-branch-baseline,18,1,1,1,0,0,0,0,0
21,clang-branch-thinlto,18,1,1,1,0,0,0,0,0
21,clang-branch-fulllto,18,1,1,1,0,0,0,0,0
22,gcc-branch-baseline,43,9,5,9,5,5,0,0,0
22,gcc-branch-lto,44,9,5,9,5,5,0,0,0
22,clang-branch-baseline,42,9,5,9,5,0,0,5,0
22,clang-branch-thinlto,42,9,5,9,5,0,0,5,0
22,clang-branch-fulllto,42,9,5,9,5,0,0,5,0
25,gcc-branch-baseline,41,8,6,8,7,7,0,0,0
25,gcc-branch-lto,42,8,6,8,7,7,0,0,0
25,clang-branch-baseline,38,8,6,8,7,0,0,7,0
25,clang-branch-thinlto,38,8,6,8,7,0,0,7,0
25,clang-branch-fulllto,38,8,6,8,7,0,0,7,0
26,gcc-branch-baseline,25,3,2,3,1,1,0,0,0
26,gcc-branch-lto,26,3,2,3,1,1,0,0,0
26,clang-branch-baseline,24,3,2,3,1,0,0,1,0
26,clang-branch-thinlto,24,3,2,3,1,0,0,1,0
26,clang-branch-fulllto,24,3,2,3,1,0,0,1,0
27,gcc-branch-baseline,41,8,7,8,3,3,0,0,0
27,gcc-branch-lto,42,8,7,8,3,3,0,0,0
27,clang-branch-baseline,39,8,7,8,3,0,0,3,0
27,clang-branch-thinlto,39,8,7,8,3,0,0,3,0
27,clang-branch-fulllto,39,8,7,8,3,0,0,3,0
28,gcc-branch-baseline,17,1,1,1,0,0,0,0,0
28,gcc-branch-lto,18,1,1,1,0,0,0,0,0
28,clang-branch-baseline,17,1,1,1,0,0,0,0,0
28,clang-branch-thinlto,17,1,1,1,0,0,0,0,0
28,clang-branch-fulllto,17,1,1,1,0,0,0,0,0
30,gcc-branch-baseline,32,5,2,5,3,3,0,0,0
30,gcc-branch-lto,33,5,2,5,3,3,0,0,0
